review_user,review_rate,review_time,review_text
Deborah Ann Quijano,5 stars,a year ago,Love to visit always in this church. Its very accessible with parking space and can offer special prayer too.
Marvin “Will” Jumoad,5 stars,a year ago,Prayers never fail..
Daryl Hannah Dizon,5 stars,a year ago,N/A
Aldous Odulio,5 stars,a year ago,N/A
Jeo Cabilao,5 stars,a year ago,N/A
Chay precious,5 stars,a year ago,N/A
Rod Daniel Bagares,5 stars,a year ago,N/A
Dong Basa,5 stars,a year ago,A very solemn place. GOD Bless Us all 🙏 …
Ariam shekie,5 stars,a year ago,N/A
Doris Cadampog,5 stars,a year ago,Place is so holy. That sweet smelling flowers during a mass makes you feel like you are in heaven.
Rochell Dajao,5 stars,a year ago,N/A
Lourdes Pama,5 stars,a year ago,"AMEN .PRAISE GOD
ANGELIC VOICES"
Art Tanggapan,5 stars,a year ago,"Monastery of Carmelite nuns. A holy pace, a church offering for your petition thru prayers by the servant of God and for those believers by the power of prayer."
Bemar Marababol,5 stars,a year ago,N/A
Wendel Getigan,5 stars,a year ago,Its nice place to pray and give thanks to the lord.🙏🙏🙏🙏🙏l …
Donald Mark Abueva,5 stars,a year ago,N/A
Leny DG,5 stars,a year ago,N/A
Baran Flores,5 stars,a year ago,N/A
ronald simeon,5 stars,a year ago,N/A
Trixie Repdos,5 stars,a year ago,N/A
The Zesty Tubers,5 stars,a year ago,⭐
Ananias Neniel,1 star,a year ago,N/A
Raffy Tejero,5 stars,a year ago,Good
Richie Yap,5 stars,a year ago,The Carmelites has always been my comfort zone. They have a beautiful ambiance to concentrate on our communication w/our Almighty FATHER. We can ask the Carmelites' sisters for prayer petitions & offer mass intentions.
Lourdes Villa Apartment,5 stars,a year ago,peaceful for solemn prayers
rich abecia,5 stars,a year ago,N/A
Glena Bontuyan,5 stars,a year ago,N/A
Mark Christian Clerino,5 stars,a year ago,N/A
Reynaldo Zapanta,5 stars,2 years ago,The place you ought to be on your birthday 🙏🙏🙏☝ …
Jamie Zanoria,5 stars,2 years ago,"The place is a sancuary for me. I always look forward to visiting the place. Whenever I pass it, it always entice me  to get inside and kneel."
cathy calo,5 stars,2 years ago,A very solemn place to pray and reflect. Best place is there is ample parking and with comfort room in the premises
Stephany Duterte,5 stars,2 years ago,N/A
jennifer nunez,5 stars,2 years ago,N/A
Shea A,5 stars,2 years ago,"Accessible, solemn and organize.  They practice social distancing."
Filmabelle Rabor,5 stars,2 years ago,N/A
Pinky D,5 stars,2 years ago,Solemn place
Vanny Bacs (Vanny),4 stars,2 years ago,N/A
Aname Gines,5 stars,2 years ago,Beautiful church.
Raul Galope,5 stars,2 years ago,Holistic moment of prayer in honor of the Holy mother
Joseph Bacquiano (Josh),5 stars,2 years ago,N/A
Lourdes Apartment,5 stars,2 years ago,Prayers
Pamela Pañares,5 stars,2 years ago,N/A
Christian Velasquez,3 stars,2 years ago,N/A
Aldrin Gabutan,5 stars,2 years ago,N/A
Male Vibrom,4 stars,2 years ago,N/A
sheen,3 stars,2 years ago,N/A
Mariano Luciano,5 stars,2 years ago,N/A
George Hernando,5 stars,2 years ago,Very HOLY inside the church.
Ogie Tuyor,5 stars,2 years ago,N/A
March Yen Belocura,5 stars,2 years ago,N/A
herwil Jim,5 stars,2 years ago,N/A
Michael Baguio (Mikehub),5 stars,2 years ago,nice church
eldred de jesus,5 stars,2 years ago,A place for you to have a peace of mind. And surrender yourself to God.
Axel Valenzuela,5 stars,2 years ago,"A place to lay down your worries, your thanks, and your hopes.

Be there early in the morning and light a candle for your worries, kneel for your worries, and leave a note for thanks."
Ian Cabigon,5 stars,2 years ago,N/A
Isha Gulane,5 stars,2 years ago,"I went there last June 3, 2021. Before going in, you need to disinfect using alcohol and check the temperature. You cannot touch Carmelite and Sto. Niño figures since it has a rope barricade."
Shaquille Nierra,5 stars,2 years ago,N/A
brykaibrielle Italio,4 stars,2 years ago,"Following health protocol, that's good enough for me"
RheaAngelica Gabatan,5 stars,2 years ago,A place that is very peaceful.
Benz Mabatid,5 stars,2 years ago,N/A
Gina Alma Guzman,5 stars,2 years ago,One of my favorite churches here in Cebu. My go to place when I am down and troubled.
rudilyn kilongkilong,5 stars,2 years ago,solemn place
J-Pearl Tacs,5 stars,2 years ago,N/A
Wilvarr,5 stars,2 years ago,I believe.
Mark Dacera,5 stars,2 years ago,N/A
Rey Martinez,5 stars,2 years ago,N/A
Fritz Samson,5 stars,2 years ago,N/A
Sharine Crissandra Malagar,5 stars,2 years ago,"Very clean place ,"
She,5 stars,2 years ago,Very solemn and lesser crowd so you can really pray.
Faith Ricabo,5 stars,2 years ago,N/A
Jacques Divinagracia,5 stars,2 years ago,N/A
Leonard Saguing,5 stars,2 years ago,N/A
Joel Opone v.,3 stars,2 years ago,N/A
S Vega,5 stars,2 years ago,N/A
Kyle Lajot,5 stars,2 years ago,N/A
Dwight P,5 stars,2 years ago,N/A
Lloyd Ong,5 stars,2 years ago,N/A
cristine mahinay,5 stars,2 years ago,"Solemn place to prayer, reflect and alone time with God. People come here for their devotions to the Lady of Mount Carmel."
Dennis Tesoro,5 stars,2 years ago,"If u believe...
its possible...
its will happen..."
Rico Tuñacao,5 stars,2 years ago,A place for meditation
GameStyle Cebu,5 stars,2 years ago,Peacefull Good for Silent Prayers and Time w/ God
Ziv Hydrogen,5 stars,2 years ago,N/A
Dodong Jay,5 stars,2 years ago,N/A
eric musa,5 stars,2 years ago,"Very quiet and orderly
Love it here"
ML Arbiol (Pop),5 stars,2 years ago,N/A
McBrokenCJ,5 stars,2 years ago,N/A
neil kenneth tapulgo,5 stars,2 years ago,N/A
Tony Manlanotalcoversonsona,4 stars,2 years ago,N/A
Maria Christin Jupista,5 stars,2 years ago,N/A
ANN MARIE JAÑALA,5 stars,2 years ago,N/A
Brian Laurio,5 stars,2 years ago,N/A
Haze Nua,5 stars,2 years ago,it you want to have a good reflections of your life come to this place and make generous offers for the monk and sisters of this monastery.
cinbeth orellano,5 stars,2 years ago,My favorite place to relax & meditate.
Mary Blanch Gayoba,5 stars,2 years ago,N/A
Mark Vincent Ang Kim,5 stars,2 years ago,N/A
Dave John Golloso,5 stars,2 years ago,N/A
Jack Bauwer,5 stars,2 years ago,A place to pray
Persly Palamine,5 stars,2 years ago,N/A
Kenji Mura Bactol,5 stars,2 years ago,N/A
Gary Chavez,5 stars,2 years ago,This place brings me so much serenity and peace.
Mark Michael Zamora,5 stars,2 years ago,Very nice church to worship on Sundays. Its small and there are few people so social distancing is well enforced
rona mae canete,5 stars,2 years ago,I love the carmelite monastery...i always feel calm and reassured that i am loved when i am here.
Alan Siguenza Jr.,5 stars,2 years ago,N/A
Maria Charice,5 stars,2 years ago,N/A
Crisdel Pilapil,5 stars,2 years ago,I want here to meditate and reflect.
Gina Gloria dela Rosa,5 stars,2 years ago,Very Solemn..
Jerjo Uy,5 stars,2 years ago,Solemn and Peaceful
Vanessa Cipriano,5 stars,2 years ago,The place is open for those who need a silent place to pray.
Kris Legaspi,5 stars,2 years ago,N/A
Janus Jagmoc,5 stars,2 years ago,The place will surely lift up your soul.
Albert Chian,5 stars,2 years ago,N/A
June Reil Sotelleza,5 stars,2 years ago,N/A
Mark Evan Eco,5 stars,2 years ago,open...
Rubielyn A. Ramones,5 stars,2 years ago,Serene.
Vhia Fat,5 stars,2 years ago,N/A
dimple nicdao,3 stars,2 years ago,N/A
Noliverh h,5 stars,2 years ago,very quite place to pray
G,5 stars,2 years ago,N/A
Albert Amor,5 stars,2 years ago,N/A
Luchz P,5 stars,2 years ago,"Solemn mostly.
Less crowd.
Just enough space! …"
Greeley Cadungog,4 stars,2 years ago,The sisters will be available in the afternoon around 3pm per security guard on duty.
Cherry Mae Acapulco,5 stars,2 years ago,Observed safety protocols. Staff are available to guide the Church goers on which way to go.
Erica Roque,5 stars,2 years ago,Carmelite Monastery is peaceful. Its my sanctuary.
Tonton Escario,5 stars,3 years ago,Good
RainRuts TV,5 stars,3 years ago,Healing mass
jaime pardo,3 stars,3 years ago,N/A
Ariel “Kuya A” del Mar,5 stars,3 years ago,Peaceful place
glizia anaisur,5 stars,3 years ago,N/A
John Hanlon,5 stars,3 years ago,N/A
GENERIC Igot,5 stars,3 years ago,It's holy place where a lot of people gather here because it is meraculous
Rubilyn Cabanes,5 stars,3 years ago,N/A
Bernadeth Leah Abellana,5 stars,3 years ago,N/A
Ely Quisumbing,5 stars,3 years ago,It's for the heart and spirit. My petitions mostly have been granted
wenchester pinili,5 stars,3 years ago,N/A
Gail Veronica Lim,4 stars,3 years ago,N/A
Steve Padilla Official,5 stars,3 years ago,Another perfect house of God for adoration.
Tomasa Serohejos,5 stars,3 years ago,N/A
jerson eyas,4 stars,3 years ago,N/A
Imelda Corazon Nocos,5 stars,3 years ago,N/A
Maric solon,5 stars,3 years ago,N/A
Mitzi Claudette,5 stars,3 years ago,N/A
Remedios Pardo,5 stars,3 years ago,N/A
Aj Jasmin,5 stars,3 years ago,N/A
Geronimo Candidato,5 stars,3 years ago,Quiet and conducive for prayer. Answers prayer.
spools.i (JC),5 stars,3 years ago,"A church that has a nice atmosphere and lets you reflect on anything. They have a small area where you can light candles and pray, and a small place where you can write your prayers on a paper."
Yuichiro Miura,3 stars,3 years ago,N/A
Benjielou “Loloy” Esclares,3 stars,3 years ago,N/A
Jhoanna Chua,5 stars,3 years ago,N/A
Kenneth “Kuya Ken” Rivera,5 stars,3 years ago,"• 02.11.2020. Me, together with my brother Knights of Columbus, Bro. Emm Espina and Bro. Danny Sedurifa, visited this church to take pictures of the altar and facade in line with our book to be published for the 500th Year of Christianization of the Philippines."
iamia R.N.,5 stars,3 years ago,N/A
Orville Varquez,5 stars,3 years ago,"A very solemn, peaceful placw"
Kyle Suarez,5 stars,3 years ago,"Very special place. Very spiritual not crowded except for fiesta pero promise miraculous gyud! 😊😊😊 For more infos and photos, follow me on INSTAGRAM: @thekylesuarez or @emmanyouwill 😊 …"
Mrjo,5 stars,3 years ago,N/A
Belia B,5 stars,3 years ago,It's a quiet place and cleaned
Zarah Benner,5 stars,3 years ago,N/A
Rey Mark Medillo,5 stars,3 years ago,N/A
Zoe Arugay,5 stars,3 years ago,N/A
Gervy Dalangpan,4 stars,3 years ago,N/A
Nico Samneil Salado,5 stars,3 years ago,Place is so quite and you could truly reflect in here even though it is just beside a major street.
Aedan Javier,5 stars,3 years ago,N/A
Kurt Sy Piecco,5 stars,3 years ago,N/A
Rosemary Arda,5 stars,3 years ago,N/A
Khaleesi Nirelle Montesclaros,5 stars,3 years ago,N/A
wendell legara,5 stars,3 years ago,peacefull place
Rynan Golpe,5 stars,3 years ago,"The place brings peace into my soul. It is very calm, very solemn and very holy. The place itself speaks the holiness of the dwellers."
aminabox nomore,5 stars,3 years ago,"This is my comfort place. Whenever I feel so lost and burdened, I just come to this place to reflect and meditate. You can write your prayers so that the nuns can help you pray for your intentions. You can also share your blessings by …"
Mencilita Torres,5 stars,3 years ago,N/A
allan yap,5 stars,3 years ago,N/A
Michael Cinco,4 stars,3 years ago,Solemn and quiet church
Antonioni Mozo,5 stars,3 years ago,N/A
EJ TUÑACAO,5 stars,3 years ago,N/A
Glamz Reds,5 stars,3 years ago,a solemn place
Paul - Jerrybel Pasatiempo,5 stars,3 years ago,N/A
Grover Sean Reyes,5 stars,3 years ago,It's very peaceful 😍 …
Kiesha Eunice Mujeres,4 stars,3 years ago,N/A
Evelyn Gayas,5 stars,3 years ago,N/A
Leo Vincent Flores,5 stars,3 years ago,A solemn place to worship God.
Ambrogio Maiocchi,5 stars,3 years ago,N/A
Chezka Salinas,5 stars,3 years ago,Solemn place to medidate and pray to God.
Yeto Aberasturi,5 stars,3 years ago,Always awesome encounter with the Lord
Prix Alicaway,5 stars,3 years ago,Serene
Vincent Intong,5 stars,3 years ago,"if your a roman catholic don't forger to drop by on this place.  its the home of the carmelite nuns.  you can write your petition, prayer and Thanksgiving here.  they will read it and pray it for you.  aside from that this is a church too so there is also a holy mass.  just see schedule."
Joseph Winston,5 stars,3 years ago,N/A
Bryle Crodua,5 stars,3 years ago,N/A
Ms. G Real,5 stars,3 years ago,Holy place.
Hynah Jamon,5 stars,3 years ago,N/A
Van Ya,5 stars,3 years ago,Peaceful
Antolin Ryan Seco,5 stars,3 years ago,N/A
Bernz Val,5 stars,3 years ago,N/A
Alayre Rogelio,5 stars,3 years ago,N/A
MR. NICE GUY,4 stars,3 years ago,N/A
Ma. Rebecca Joie Marquez,4 stars,3 years ago,N/A
Angievie Galvan,5 stars,3 years ago,N/A
zenith navarro,5 stars,3 years ago,When holy place where you feel like God is near to you.🙏 …
정일영,3 stars,3 years ago,It's a quiet and cozy feeling. I don't think you need  …
Al 042,4 stars,3 years ago,N/A
Jhamaica Deniel Villamor,5 stars,3 years ago,N/A
Stephanie Resma,5 stars,3 years ago,N/A
이재명,3 stars,3 years ago,just... j …
Erwin Pacaña,5 stars,3 years ago,N/A
Kevin Rahman,5 stars,3 years ago,N/A
Churchil Cristinor,5 stars,3 years ago,N/A
Ralph Anajao,5 stars,3 years ago,Perfect place for prayers.
Rosel G. Sarmiento,3 stars,3 years ago,N/A
松下T,4 stars,3 years ago,N/A
Christian Caballero,5 stars,3 years ago,N/A
John Michael Clarion,5 stars,3 years ago,N/A
Cristine Devibar,5 stars,3 years ago,N/A
Jovit Villamena,4 stars,3 years ago,N/A
chef_ Ann,5 stars,3 years ago,N/A
Jaime Oscar Aspril,5 stars,3 years ago,A place or serenity and prayer
elfrick juarez,5 stars,3 years ago,N/A
chris copal,5 stars,3 years ago,A Holy and Solemn Place
Eli Sim Nuneza,5 stars,3 years ago,N/A
Cenica Dale,5 stars,3 years ago,N/A
Steffen,5 stars,3 years ago,N/A
Mark Zyril Alerta,5 stars,3 years ago,N/A
Austrina Corona,5 stars,3 years ago,N/A
Ayna Madrigal,5 stars,3 years ago,N/A
Elson Homez,5 stars,3 years ago,Solemn and historic place.
Vicente Jr. Hermoso,5 stars,3 years ago,N/A
Kristine B. Alburo,5 stars,3 years ago,N/A
Eva Tilar,5 stars,3 years ago,"I always visited this place and put my petition prayers🙏
Blessed❤ …"
Princess Singcol,5 stars,3 years ago,a solemn place and worth the long drive and peaceful place where you can think everything in your life deeper..
David Mark Maramba,5 stars,3 years ago,N/A
Bam Bam,5 stars,3 years ago,N/A
Marc Vincent Apatan,5 stars,3 years ago,Dwelling place...
Glenbeth Imperial,2 stars,3 years ago,N/A
Small Things Matter,4 stars,3 years ago,N/A
박종문,3 stars,3 years ago,N/A
Lawrence Valentin,5 stars,3 years ago,N/A
Caloyski,5 stars,3 years ago,Nice and quiet place.
Lj Technologies I.T. Solutions & Communications,5 stars,3 years ago,N/A
Maria Villagracia,5 stars,3 years ago,N/A
Marivic “Mavic” Dumdum,5 stars,3 years ago,N/A
Danilo Baronda,5 stars,3 years ago,N/A
Iam KC U.,4 stars,3 years ago,N/A
Mestizang Unggoy,5 stars,3 years ago,N/A
Mark Anthony Padal,5 stars,3 years ago,N/A
Patrick Yeoj Tan,5 stars,3 years ago,Monastery
Inna Balodo,5 stars,3 years ago,N/A
Jean Ong,5 stars,3 years ago,Very solemn
richie garsano,5 stars,3 years ago,N/A
James Orson,5 stars,3 years ago,N/A
Excel Cameros (khiel),5 stars,3 years ago,N/A
Joyce Baraga,5 stars,3 years ago,N/A
Jake Basañez,5 stars,3 years ago,They have available pen and paper for your prayer petitions.
Lizette gentapan,5 stars,3 years ago,It a serene place
Alvin Guerrero,2 stars,3 years ago,N/A
Vincent Pinpin,4 stars,3 years ago,N/A
Demi Lynn Yap,5 stars,3 years ago,N/A
Mau,5 stars,3 years ago,Very accomodating
harry solanib,3 stars,3 years ago,N/A
El Wa,5 stars,3 years ago,N/A
Chris Lodovice,5 stars,3 years ago,Great
Gladys Arnado,5 stars,3 years ago,N/A
Preeti Nons,4 stars,3 years ago,N/A
MC Viagedor,5 stars,3 years ago,N/A
Steve Kelly Hung,5 stars,3 years ago,N/A
Kim Estrella,5 stars,3 years ago,N/A
Denmark Bruno Peral,5 stars,3 years ago,N/A
Jandro Racuma,5 stars,3 years ago,N/A
Angelica Benturado,5 stars,3 years ago,N/A
Erl Julen Tulod,5 stars,3 years ago,N/A
Rosario Estaris,5 stars,3 years ago,N/A
h3yk o9r,3 stars,3 years ago,N/A
Adrian Braza,5 stars,3 years ago,"Quiet, peaceful and clean. A good place to say your prayers and intentions."
lawrence pepito,5 stars,3 years ago,N/A
Ann Guevarra,5 stars,3 years ago,I always come here everytime I want to find solace or whenever I just want to have my peace and quiet. I particularly love how being small  the Church is because I really felt the connection with God everytime I pray there. The church …
Vincent MB Pinpin,5 stars,3 years ago,N/A
Rene Abellana,4 stars,3 years ago,N/A
Gladys Pen,5 stars,3 years ago,Just the perfect place if you want some quiet and alone time with the Lord.
Zenaida Erlano,4 stars,3 years ago,"Nice to meet the nuns, they are lovely"
JenJan B,5 stars,3 years ago,N/A
Nathan,5 stars,3 years ago,N/A
Allan Paul Deada,4 stars,3 years ago,N/A
Patricia Salazar,5 stars,3 years ago,N/A
Philip Raymund Bellones,5 stars,3 years ago,N/A
